timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], usb[87], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
11:18:42.090532,  37.900, 37.900, 38.300, 37.900, 38.300, 37.900, 37.200, 37.600, 38.300, 39.300, 39.600, 37.600, 37.900, 37.600, 37.600, 38.300, 37.900, 37.600, 37.900, 38.300, 38.300, 38.300, 37.900, 38.300, 37.200, 37.900, 37.900, 38.300, 37.600, 37.900, 37.600, 37.600, 34.929, 37.000, 35.631, 0.234, 0.234, 34.594, 37.000, 37.000, 37.991, 36.817, 37.801, 37.363, 37.430, 36.647, 36.082, 37.236, 36.082, 37.045, 36.935, 27.000, 27.000, 37.239, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.171, 0, 0, 100, 4.417, 0.141, 35.0
11:18:47.113720,  37.600, 37.900, 38.300, 37.900, 37.900, 37.600, 37.600, 37.900, 38.300, 39.300, 40.300, 37.600, 37.900, 37.200, 37.600, 38.600, 37.900, 37.900, 38.300, 38.300, 38.600, 38.300, 37.900, 38.300, 36.900, 37.600, 37.900, 37.900, 37.900, 38.300, 37.600, 37.900, 35.163, 37.000, 35.631, 0.468, 0.468, 34.360, 37.000, 37.000, 37.966, 36.817, 37.796, 37.387, 37.448, 36.670, 36.088, 37.267, 36.082, 37.051, 36.953, 27.000, 27.000, 37.239, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.065, 0, 0, 100, 4.418, 0.146, 35.0
11:18:52.089130,  37.600, 37.600, 38.300, 37.900, 38.300, 37.900, 37.200, 37.600, 37.900, 39.000, 40.000, 37.600, 37.900, 37.200, 37.600, 38.300, 37.900, 37.900, 38.300, 37.900, 38.600, 38.600, 38.300, 37.900, 37.200, 37.900, 37.600, 37.900, 37.600, 37.900, 37.200, 37.600, 34.795, 37.000, 35.665, 0.468, 0.468, 34.494, 37.000, 37.000, 37.934, 36.834, 37.760, 37.405, 37.466, 36.647, 36.082, 37.279, 36.088, 37.118, 37.021, 27.000, 27.000, 37.149, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.104, 0, 0, 100, 4.418, 0.157, 35.0
11:18:57.128776,  37.600, 37.600, 38.300, 37.900, 38.300, 37.900, 37.200, 37.200, 38.300, 39.300, 39.000, 37.600, 37.900, 37.200, 37.600, 38.600, 37.900, 37.600, 37.900, 38.600, 38.600, 38.600, 37.900, 38.600, 37.600, 37.900, 37.600, 37.900, 37.900, 37.900, 37.600, 37.900, 34.929, 37.000, 35.698, 0.078, 0.078, 34.427, 37.000, 37.000, 37.941, 36.846, 37.730, 37.412, 37.466, 36.665, 36.088, 37.291, 36.094, 37.130, 37.027, 27.000, 27.000, 37.100, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.267, 0, 0, 100, 4.417, 0.155, 35.0
11:19:02.023354,  37.600, 37.900, 37.900, 37.600, 37.900, 37.900, 37.600, 37.900, 38.300, 39.300, 39.600, 37.600, 37.900, 37.200, 37.600, 38.300, 38.300, 37.600, 37.900, 37.600, 38.600, 38.600, 37.900, 38.300, 37.600, 37.900, 37.600, 37.900, 37.900, 37.900, 37.600, 37.600, 34.795, 37.000, 35.665, 0.078, 0.078, 34.494, 37.000, 37.000, 37.928, 36.852, 37.730, 37.412, 37.466, 36.653, 36.088, 37.285, 36.100, 37.130, 37.027, 27.000, 27.000, 37.100, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.15, 0, 0, 100, 4.417, 0.171, 35.1
11:19:07.075394,  37.600, 37.600, 37.900, 37.600, 37.900, 37.600, 37.600, 37.600, 37.900, 38.600, 38.600, 37.600, 37.900, 37.200, 37.600, 37.900, 37.900, 37.200, 37.600, 37.900, 38.300, 38.300, 37.900, 38.300, 36.900, 37.900, 37.900, 37.900, 37.600, 37.900, 37.600, 37.600, 34.895, 37.000, 35.665, 0.156, 0.234, 34.394, 37.000, 37.000, 37.891, 36.858, 37.700, 37.412, 37.466, 36.676, 36.088, 37.291, 36.106, 37.124, 37.033, 27.000, 27.000, 37.088, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.695, 0, 0, 100, 4.418, 0.148, 35.1
11:19:12.119869,  37.600, 37.600, 37.900, 37.900, 37.900, 37.600, 37.600, 37.600, 37.900, 39.300, 40.000, 37.600, 37.600, 37.200, 37.200, 37.900, 37.900, 37.600, 37.900, 37.600, 38.300, 38.300, 37.900, 38.300, 37.200, 37.600, 37.900, 37.900, 37.600, 37.600, 37.600, 37.600, 34.862, 37.000, 35.430, 0.156, 0.156, 34.360, 37.000, 37.000, 37.879, 36.864, 37.682, 37.405, 37.460, 36.705, 36.118, 37.279, 36.118, 37.130, 37.033, 27.000, 27.000, 37.057, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.043, 0, 0, 100, 4.416, 0.171, 35.1
11:19:17.112302,  37.600, 37.600, 38.300, 37.900, 37.900, 37.900, 37.200, 37.200, 37.900, 39.300, 39.300, 37.200, 37.900, 37.200, 37.600, 37.900, 38.300, 37.900, 37.900, 37.600, 37.900, 38.600, 37.900, 38.300, 37.200, 37.600, 37.900, 37.900, 37.900, 37.900, 37.200, 37.900, 34.795, 37.000, 35.564, 0.156, 0.156, 34.260, 37.000, 37.000, 37.873, 36.864, 37.670, 37.412, 37.466, 36.682, 36.094, 37.285, 36.124, 37.124, 37.027, 27.000, 27.000, 37.033, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.01, 0, 0, 100, 4.417, 0.149, 35.1
11:19:22.104511,  37.900, 38.300, 38.600, 38.600, 38.300, 37.900, 37.600, 39.000, 41.000, 40.300, 40.700, 37.900, 38.300, 37.200, 37.600, 38.300, 37.900, 37.900, 38.600, 39.000, 39.000, 38.600, 37.900, 37.900, 37.200, 37.900, 37.900, 37.900, 37.600, 38.300, 37.200, 37.900, 34.695, 37.000, 35.598, 0.234, 0.234, 34.227, 37.000, 37.000, 37.873, 36.870, 37.676, 37.412, 37.466, 36.723, 36.100, 37.279, 36.118, 37.124, 37.021, 27.000, 27.000, 37.033, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.395, 0, 0, 100, 4.416, 0.182, 35.1
11:19:27.082402,  37.600, 37.600, 37.900, 37.600, 37.900, 37.600, 37.200, 37.600, 37.900, 39.300, 39.300, 37.200, 37.600, 36.900, 37.600, 38.300, 37.900, 37.900, 38.300, 37.900, 38.300, 38.300, 37.600, 38.300, 37.200, 37.600, 37.900, 37.900, 37.900, 37.900, 37.600, 37.600, 34.762, 37.000, 35.598, 0.234, 0.234, 34.327, 37.000, 37.000, 37.879, 36.876, 37.682, 37.412, 37.466, 36.694, 36.100, 37.272, 36.118, 37.124, 37.021, 27.000, 27.000, 37.033, 4.384, 35.000, 35.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.695, 0, 0, 100, 4.417, 0.16, 35.1
