timestamp, sdr0[2], sdr1[4], mmw-ific0[5], sdr0-pa[12], sdr1-pa[13], aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], modem-mmw0-usr[78], modem-mmw1-usr[79], assign4-therm[80], vbat[81], usb[87], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
10:40:24.084320,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.300, 27.000, 26.600, 27.000, 26.300, 26.600, 26.600, 27.300, 27.700, 28.400, 26.600, 27.000, 26.300, 26.600, 27.300, 27.000, 26.600, 27.300, 27.000, 27.000, 27.000, 26.600, 27.000, 26.300, 26.600, 27.000, 27.300, 26.600, 27.000, 26.600, 27.000, 22.957, 37.000, 24.294, 0.078, 0.078, 22.522, 37.000, 37.000, 25.574, 24.586, 25.366, 25.136, 25.214, 24.518, 23.934, 25.025, 23.934, 25.204, 25.105, 27.000, 27.000, -273.000, -273.000, 24.908, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.333, 0, 0, 100, 4.435, 0.151, 22.9
10:40:29.123548,  0.000, 0.000, -273.000, 0.000, 0.000, 27.000, 26.600, 27.000, 26.600, 26.600, 26.600, 26.300, 27.000, 26.600, 28.000, 28.400, 26.600, 26.600, 26.300, 26.600, 27.000, 27.000, 27.000, 27.300, 27.300, 27.300, 27.300, 26.600, 27.000, 26.000, 27.000, 27.000, 27.300, 26.600, 27.300, 26.300, 26.600, 23.023, 37.000, 24.328, 0.078, 0.078, 22.622, 37.000, 37.000, 25.569, 24.586, 25.361, 25.136, 25.199, 24.518, 23.939, 25.009, 23.934, 25.221, 25.099, 27.000, 27.000, -273.000, -273.000, 24.890, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.333, 0, 0, 100, 4.437, 0.129, 22.9
10:40:34.070065,  0.000, 0.000, -273.000, 0.000, 0.000, 26.300, 26.300, 27.000, 26.600, 27.000, 26.600, 26.600, 27.000, 27.000, 27.700, 28.400, 26.600, 27.000, 26.300, 26.600, 27.300, 27.000, 26.600, 27.000, 27.000, 27.000, 27.000, 26.600, 27.300, 26.300, 27.000, 26.600, 26.600, 26.600, 27.000, 26.600, 27.000, 22.856, 37.000, 24.294, 0.078, 0.078, 22.622, 37.000, 37.000, 25.558, 24.586, 25.351, 25.130, 25.194, 24.518, 23.934, 25.003, 23.929, 25.198, 25.093, 27.000, 27.000, -273.000, -273.000, 24.886, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.544, 0, 0, 100, 4.437, 0.117, 23.0
10:40:39.188192,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.300, 27.000, 26.300, 26.600, 27.000, 26.600, 27.000, 27.000, 27.700, 27.700, 26.300, 26.600, 26.300, 26.600, 27.300, 26.600, 26.600, 27.000, 27.300, 27.300, 27.300, 27.300, 27.000, 26.300, 26.600, 27.000, 27.000, 27.000, 27.000, 26.300, 26.600, 22.923, 37.000, 24.194, 0.078, 0.078, 22.522, 37.000, 37.000, 25.558, 24.591, 25.351, 25.120, 25.188, 24.518, 23.934, 24.998, 23.934, 25.198, 25.075, 27.000, 27.000, -273.000, -273.000, 24.881, 4.434, 22.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.487, 0, 0, 100, 4.437, 0.134, 23.0
10:40:44.088844,  0.000, 0.000, -273.000, 0.000, 0.000, 27.000, 27.000, 27.000, 26.600, 27.000, 26.600, 26.300, 26.600, 26.600, 27.300, 28.000, 26.300, 27.000, 26.000, 26.600, 27.300, 26.600, 27.000, 27.300, 26.600, 27.300, 27.300, 27.300, 27.300, 25.600, 27.000, 27.000, 27.000, 26.600, 26.600, 26.600, 26.600, 22.923, 37.000, 24.361, 0.078, 0.078, 22.656, 37.000, 37.000, 25.563, 24.591, 25.345, 25.130, 25.194, 24.518, 23.939, 25.003, 23.945, 25.198, 25.081, 27.000, 27.000, -273.000, -273.000, 24.872, 4.384, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.84, 0, 0, 100, 4.436, 0.135, 23.0
10:40:49.027954,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.300, 26.600, 26.600, 27.000, 26.600, 26.600, 26.300, 27.000, 27.300, 27.700, 26.600, 27.000, 26.000, 26.600, 27.300, 26.600, 26.600, 26.600, 27.000, 27.700, 27.300, 27.000, 27.300, 26.000, 26.600, 26.600, 27.000, 26.300, 27.000, 26.300, 27.000, 22.990, 37.000, 24.227, 0.078, 0.078, 22.789, 37.000, 37.000, 25.543, 24.591, 25.345, 25.125, 25.199, 24.518, 23.945, 24.998, 23.939, 25.186, 25.075, 27.000, 27.000, -273.000, -273.000, 24.872, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 14.056, 0, 0, 100, 4.436, 0.13, 23.0
10:40:54.167477,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 27.000, 26.600, 26.600, 27.000, 26.600, 26.300, 26.600, 27.000, 27.300, 27.700, 26.300, 26.600, 26.300, 26.600, 27.300, 27.000, 26.600, 27.300, 27.000, 27.300, 27.300, 27.000, 27.000, 26.000, 26.600, 27.000, 27.300, 27.000, 26.600, 26.300, 26.600, 22.990, 37.000, 24.194, 0.078, 0.156, 22.656, 37.000, 37.000, 25.548, 24.591, 25.351, 25.125, 25.183, 24.529, 23.955, 25.009, 23.950, 25.186, 25.069, 27.000, 27.000, -273.000, -273.000, 24.890, 4.384, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.033, 0, 0, 100, 4.437, 0.138, 23.0
10:40:59.126758,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 27.300, 26.600, 27.000, 26.600, 26.300, 26.600, 27.000, 27.300, 28.400, 26.300, 27.000, 26.300, 26.600, 27.300, 27.000, 27.000, 27.300, 27.300, 27.000, 27.700, 27.300, 27.300, 26.300, 26.600, 27.000, 27.000, 26.600, 27.000, 26.600, 27.000, 22.923, 37.000, 24.328, 0.078, 0.078, 22.589, 37.000, 37.000, 25.558, 24.591, 25.340, 25.120, 25.183, 24.518, 23.945, 24.988, 23.945, 25.186, 25.069, 27.000, 27.000, -273.000, -273.000, 24.872, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.135, 0, 0, 100, 4.434, 0.122, 23.0
10:41:04.099954,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 26.600, 27.000, 27.000, 27.000, 26.600, 26.300, 27.000, 27.000, 27.300, 27.700, 26.600, 26.600, 26.300, 26.600, 27.300, 27.000, 26.600, 27.300, 27.300, 27.000, 27.300, 27.000, 27.300, 26.000, 26.600, 27.000, 26.600, 26.600, 27.300, 26.300, 27.000, 22.923, 37.000, 24.294, 0.078, 0.078, 22.488, 37.000, 37.000, 25.543, 24.591, 25.340, 25.120, 25.188, 24.518, 23.950, 24.982, 23.950, 25.180, 25.075, 27.000, 27.000, -273.000, -273.000, 24.872, 4.434, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.086, 0, 0, 100, 4.436, 0.135, 23.0
10:41:09.104461,  0.000, 0.000, -273.000, 0.000, 0.000, 26.600, 27.000, 26.600, 26.600, 27.000, 26.600, 26.300, 26.600, 26.600, 27.700, 28.000, 26.300, 26.600, 26.000, 26.600, 27.300, 27.000, 26.600, 27.000, 27.300, 27.300, 27.300, 26.600, 27.000, 26.300, 26.600, 27.000, 27.000, 27.000, 26.600, 26.600, 26.600, 23.191, 37.000, 24.294, 0.078, 0.078, 22.589, 37.000, 37.000, 25.538, 24.591, 25.340, 25.109, 25.178, 24.524, 23.955, 24.993, 23.950, 25.180, 25.075, 27.000, 27.000, -273.000, -273.000, 24.868, 4.384, 23.000, 23.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.35, 0, 0, 100, 4.436, 0.123, 23.0
