timestamp, aoss-0[14], cpuss-0[15], cpuss-1[16], cpuss-2[17], cpuss-3[18], cpu-1-0[19], cpu-1-1[20], cpu-1-2[21], cpu-1-3[22], cpu-1-4[23], cpu-1-5[24], cpu-1-6[25], cpu-1-7[26], cpu-1-8[27], gpuss-0[28], gpuss-1[29], aoss-1[30], cpu-0-0[31], cpu-0-1[32], cpu-0-2[33], cpu-0-3[34], nspss-0[35], nspss-1[36], nspss-2[37], video[38], ddr[39], mdmss-0[40], mdmss-1[41], mdmss-2[42], mdmss-3[43], camera-0[44], camera-1[45], pm8350-tz[48], pm8350c-tz[49], pm8350b-tz[53], pm8350b-ibat-lvl0[54], pm8350b-ibat-lvl1[55], socd[59], pmr735a-tz[60], pm8450-tz[62], pm8010i-tz[63], sdm-therm[65], flash-therm[66], assign2-therm[67], assign3-therm[68], assign1-therm[69], batt-therm[70], usb-therm[71], xo-therm[72], disp-therm[73], pa-therm1[74], pa-therm2[75], qtm-n-therm[76], qtm-e-therm[77], assign4-therm[80], vbat[81], battery[88], sony-cam-back0[82], sony-cam-back1[83], sony-cam-back1-ext[84], sony-cam-front0[85], sony-cam-back2[86], cpu_usage, screen_state, charging_state, batt_level, vbatt, cbatt, amb_temp
13:48:02.899411,  6.100, 6.500, 6.800, 6.500, 6.800, 6.500, 6.100, 6.500, 7.100, 8.200, 8.200, 6.100, 6.500, 5.800, 6.500, 6.800, 6.500, 6.500, 6.500, 6.100, 6.800, 6.800, 6.500, 7.100, 5.400, 6.500, 6.100, 6.800, 6.500, 6.800, 6.100, 6.500, 1.316, 37.000, 3.646, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.615, 1.315, 2.212, 1.981, 2.088, 1.230, 0.564, 2.322, 0.577, 3.547, 3.467, 27.000, 27.000, 2.559, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.769, 0, 1, 99, 4.427, 0.0, -0.2
13:48:07.871869,  6.500, 6.800, 6.800, 6.800, 7.100, 6.800, 6.100, 6.800, 6.800, 7.800, 8.800, 6.500, 6.500, 6.500, 6.500, 7.500, 6.800, 5.800, 7.100, 6.800, 7.100, 6.800, 6.500, 7.100, 5.800, 6.500, 6.100, 6.800, 6.100, 6.800, 6.500, 6.100, 1.382, 37.000, 3.713, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.621, 1.315, 2.206, 1.974, 2.082, 1.216, 0.558, 2.309, 0.584, 3.524, 3.456, 27.000, 27.000, 2.540, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.081, 0, 1, 99, 4.428, 0.0, -0.3
13:48:12.894099,  6.500, 6.500, 6.500, 6.500, 6.800, 6.500, 6.100, 6.500, 6.800, 7.800, 8.200, 6.100, 6.800, 5.800, 6.800, 7.100, 6.100, 6.500, 6.800, 6.500, 6.800, 7.100, 6.500, 6.800, 5.800, 6.500, 6.500, 7.100, 6.500, 6.500, 5.800, 6.500, 1.416, 37.000, 3.679, 0.078, 0.078, 0.001, 0.617, 37.000, 37.000, 2.590, 1.302, 2.193, 1.962, 2.075, 1.210, 0.558, 2.290, 0.551, 3.524, 3.456, 27.000, 27.000, 2.540, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.945, 0, 1, 99, 4.428, 0.0, -0.3
13:48:17.909787,  6.800, 7.100, 7.500, 7.100, 7.100, 6.800, 6.500, 7.100, 7.500, 8.800, 9.200, 6.800, 6.800, 6.500, 6.800, 7.100, 6.800, 6.800, 7.100, 7.100, 7.500, 7.500, 6.800, 7.100, 5.800, 6.800, 6.500, 6.800, 6.500, 6.800, 6.100, 6.500, 1.416, 37.000, 3.713, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.690, 1.289, 2.186, 1.949, 2.056, 1.183, 0.551, 2.277, 0.538, 3.519, 3.438, 27.000, 27.000, 2.515, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.429, 0, 1, 99, 4.428, 0.0, -0.3
13:48:22.913968,  6.500, 6.500, 6.800, 6.500, 6.800, 6.800, 6.500, 6.500, 7.100, 7.800, 8.200, 6.500, 6.800, 6.100, 6.100, 7.100, 6.500, 6.500, 6.800, 6.500, 7.100, 7.100, 6.500, 6.800, 5.800, 6.500, 6.500, 6.800, 6.500, 6.800, 6.100, 6.500, 1.349, 37.000, 3.812, 0.078, 0.078, 0.001, 0.716, 37.000, 37.000, 2.640, 1.282, 2.206, 1.949, 2.062, 1.183, 0.551, 2.296, 0.571, 3.507, 3.421, 27.000, 27.000, 2.522, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.064, 0, 1, 99, 4.427, 0.0, -0.2
13:48:27.929492,  6.100, 6.500, 6.800, 6.800, 6.500, 6.800, 5.800, 6.500, 6.800, 7.800, 8.800, 6.100, 6.800, 5.800, 6.100, 7.100, 6.800, 6.100, 6.800, 6.800, 6.800, 6.800, 6.500, 7.100, 5.800, 6.100, 6.100, 6.500, 6.500, 6.500, 5.800, 6.500, 1.416, 37.000, 3.679, 0.078, 0.078, 0.001, 0.683, 37.000, 37.000, 2.602, 1.289, 2.193, 1.937, 2.049, 1.163, 0.551, 2.271, 0.577, 3.496, 3.421, 27.000, 27.000, 2.540, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 13.65, 0, 1, 99, 4.427, 0.0, -0.2
13:48:32.929970,  6.100, 6.500, 6.500, 6.500, 6.800, 6.500, 6.100, 6.500, 6.500, 7.800, 8.800, 6.100, 6.800, 6.100, 6.800, 7.100, 6.500, 6.100, 6.800, 6.500, 7.100, 7.100, 6.500, 6.500, 5.400, 6.500, 6.100, 6.500, 6.100, 6.800, 6.500, 6.500, 1.516, 37.000, 3.646, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.590, 1.276, 2.167, 1.937, 2.049, 1.163, 0.551, 2.271, 0.571, 3.496, 3.427, 27.000, 27.000, 2.515, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.306, 0, 1, 99, 4.428, 0.0, -0.2
13:48:37.925881,  6.100, 6.500, 6.500, 6.500, 6.500, 6.500, 6.100, 6.500, 6.500, 8.200, 8.500, 6.100, 6.800, 6.100, 6.500, 6.800, 6.500, 6.100, 6.500, 6.800, 7.100, 6.800, 6.500, 6.500, 5.400, 6.100, 6.500, 6.800, 6.100, 6.500, 5.800, 6.100, 1.349, 37.000, 3.646, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.571, 1.282, 2.160, 1.931, 2.037, 1.150, 0.551, 2.264, 0.551, 3.496, 3.421, 27.000, 27.000, 2.497, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.645, 0, 1, 99, 4.428, 0.0, -0.2
13:48:42.900698,  6.500, 6.500, 6.500, 6.500, 6.500, 6.500, 6.100, 6.800, 7.100, 7.800, 8.200, 6.500, 6.800, 5.800, 6.500, 7.100, 6.500, 6.100, 6.100, 6.500, 6.500, 6.800, 6.500, 6.800, 5.400, 6.500, 6.100, 6.500, 6.500, 6.500, 6.100, 6.100, 1.316, 37.000, 3.646, 0.078, 0.078, 0.001, 0.650, 37.000, 37.000, 2.545, 1.282, 2.147, 1.918, 2.018, 1.143, 0.544, 2.245, 0.525, 3.496, 3.409, 27.000, 27.000, 2.484, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.754, 0, 1, 99, 4.428, 0.0, -0.3
13:48:47.990079,  6.100, 6.100, 6.500, 6.800, 6.500, 6.800, 6.100, 6.800, 6.500, 7.500, 8.200, 6.100, 6.800, 6.100, 6.500, 7.100, 6.500, 6.100, 6.800, 6.800, 6.800, 6.800, 6.500, 6.800, 5.800, 6.100, 6.100, 6.800, 6.500, 6.500, 6.100, 6.500, 1.416, 37.000, 3.646, 0.078, 0.078, 0.001, 0.617, 37.000, 37.000, 2.520, 1.263, 2.134, 1.906, 2.005, 1.103, 0.531, 1.899, 0.525, 3.473, 3.404, 27.000, 27.000, 2.466, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.639, 0, 1, 99, 4.427, 0.0, -0.3
13:48:52.949387,  6.100, 6.500, 6.800, 6.500, 6.800, 6.500, 5.800, 6.500, 6.800, 8.200, 8.500, 6.500, 6.500, 6.100, 6.800, 6.800, 6.800, 6.500, 6.500, 6.800, 7.500, 7.100, 6.500, 6.800, 5.400, 6.500, 6.100, 6.500, 6.500, 6.800, 6.100, 6.100, 1.349, 37.000, 3.613, 0.078, 0.078, 0.001, 0.517, 37.000, 37.000, 2.526, 1.263, 2.134, 1.899, 1.999, 1.123, 0.544, 2.225, 0.525, 3.461, 3.386, 27.000, 27.000, 2.484, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 11.977, 0, 1, 99, 4.428, 0.0, -0.2
13:48:57.926772,  6.100, 6.500, 6.800, 6.500, 6.500, 6.500, 5.800, 6.500, 6.800, 7.800, 8.500, 6.100, 6.500, 6.100, 6.500, 6.800, 6.500, 6.500, 6.800, 6.800, 6.800, 6.800, 6.500, 6.800, 5.100, 6.500, 6.500, 6.800, 6.100, 6.500, 6.100, 6.500, 1.382, 37.000, 3.646, 0.078, 0.078, 0.001, 0.517, 37.000, 37.000, 2.507, 1.256, 2.115, 1.887, 1.981, 1.103, 0.531, 2.199, 0.531, 3.438, 3.386, 27.000, 27.000, 2.484, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.917, 0, 1, 99, 4.427, 0.0, -0.2
13:49:02.943080,  6.500, 6.800, 7.100, 6.800, 6.800, 6.500, 6.500, 6.800, 6.800, 8.200, 9.200, 6.500, 7.100, 6.100, 6.500, 7.500, 6.500, 6.800, 6.800, 7.100, 7.500, 6.800, 6.500, 6.800, 5.800, 6.500, 6.500, 6.800, 6.500, 6.800, 6.100, 6.500, 1.582, 37.000, 3.713, 0.078, 0.078, 0.001, 1.016, 37.000, 37.000, 2.659, 1.256, 2.271, 1.887, 2.005, 1.103, 0.544, 2.232, 0.538, 3.438, 3.363, 27.000, 27.000, 2.453, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 12.824, 0, 1, 99, 4.427, 0.0, -0.1
13:49:07.906428,  6.500, 6.500, 7.100, 6.800, 6.800, 6.800, 6.100, 6.800, 6.800, 8.200, 8.500, 6.100, 6.800, 6.100, 6.500, 7.100, 6.800, 6.100, 6.800, 6.800, 7.100, 6.800, 6.500, 6.800, 5.400, 6.100, 6.500, 6.800, 6.500, 6.500, 6.100, 6.500, 1.449, 37.000, 3.679, 0.078, 0.078, 0.001, 0.950, 37.000, 37.000, 2.665, 1.256, 2.290, 1.912, 2.024, 1.096, 0.544, 2.245, 0.551, 3.438, 3.398, 27.000, 27.000, 2.719, 4.384, 0.000,  0.000, 0.000, 0.000, 0.000, 0.000, 15.75, 0, 1, 99, 4.427, 0.0, -0.2
